number,description,dimensions,product_number
9724BRW-2,Double Glider Reclining Love Seat with Center Console,77 x 38.5 x 39.5H,9724BRW
9724BRW-1,Glider Reclining Chair,40.5 x 38.5 x 39.5H,9724BRW
9734BK-3,Sofa,84.25 x 36 x 36.5H,9734BK
9734BK-2,Love Seat,63 x 36 x 36.5H,9734BK
9734BK-1,Chair,40.5 x 36 x 36.5H,9734BK
9734BR-1,Chair,40.5 x 36 x 36.5H,9734BR
9734BR-3,Sofa,84.25 x 36 x 36.5H,9734BR
9734BR-2,Love Seat,63 x 36 x 36.5H,9734BR
9734CH-3,Sofa,84.25 x 36 x 36.5H,9734CH
9734CH-2,Love Seat,63 x 36 x 36.5H,9734CH
9734CH-1,Chair,40.5 x 36 x 36.5H,9734CH
9734DB-3,Sofa,84.25 x 36 x 36.5H,9734DB
9734DB-2,Love Seat,63 x 36 x 36.5H,9734DB
9734DB-1,Chair,40.5 x 36 x 36.5H,9734DB
9734TP-3,Sofa,84.25 x 36 x 36.5H,9734TP
9734TP-2,Love Seat,63 x 36 x 36.5H,9734TP
9734TP-1,Chair,40.5 x 36 x 36.5H,9734TP
9739-L,Left Side 2-Seater,70 x 39.5 x 40H,9739
9739-R,Right Side Chaise,38 x 69 x 40H,9739
9739-4,Ottoman,67 x 29.5 x 22.5H,9739
9739CH-L,Left Side 2-Seater,70 x 39.5 x 40H,9739CH
9739CH-R,Right Side Chaise,38 x 69 x 40H,9739CH
9739CH-4,Ottoman,67 x 29.5 x 22.5H,9739CH
