number,description,dimensions,product_number
8210GRY-2,Double Glider Reclining Love Seat with Center Console,78 x 39.25 x 40.5H,8210GRY
8210GRY-1,Glider Reclining Chair,39 x 39.25 x 40.5H,8210GRY
8211*,Reversible Sectional with Pull-out Bed and Hidden Storage,97.75 x 59 x 35.25H,8211
8212-AC,Armless Chair,31.5 x 38.75 x 40H,8212 Sectional
8212-AR,Armless Reclining Chair,31.5 x 38.75 x 40H,8212 Sectional
8212-CN,Console,13.5 x 37.5 x 40H,8212 Sectional
8212-CR,Corner Seat,66 x 41.5 x 40H,8212 Sectional
8212-LR,Left Side Reclining Chair,41 x 38.75 x 40H,8212 Sectional
8212-RR,Right Side Reclining Chair,41 x 38.75 x 40H,8212 Sectional
8213-1,Push Back Reclining Chair,33 x 35 x 39H,8213-1
8214BRW-1,Push Back Reclining Chair,28.75 x 35.5 x 40H,8214BRW
8215BJ-1,Push Back Reclining Chair,31 x 35 x 39H,8215BJ-1
8215GY-1,Push Back Reclining Chair,31 x 35 x 39H,8215GY-1
8216DG-3,Sofa,85.5 x 34.25 x 36.5H,8216DG
8216DG-2,Love Seat,63 x 34.25 x 36.5H,8216DG
8216DG-1,Chair,40.5 x 34.25 x 36.5H,8216DG
8216DG-L,Left Side 3-Seater,75.5 x 34.25 x 36.5H,8216DG Sectional
8216DG-R,Right Side 3-Seater,84.5 x 34.25 x 36.5H,8216DG Sectional
8216SD-3,Sofa,85.5 x 34.25 x 36.5H,8216SD
8216SD-2,Love Seat,63 x 34.25 x 36.5H,8216SD
8216SD-1,Chair,40.5 x 34.25 x 36.5H,8216SD
8219-3,Sofa,78 x 34 x 35H,8219
8219-2,Love Seat,63 x 34 x 35H,8219
8219-1,Chair,43 x 34 x 35H,8219
8219-30,Cocktail Table,47 x 24 x 17H,8219
8222-1LT,POWER Lift Chair,31 x 35.75 x 42.25H,8222-1LT
8223BK-3PW*,POWER Double Reclining Sofa,87 x 37 x 39.25H,8223BK
8223BK-2PW*,POWER Double Reclining Love Seat,66 x 37 x 39.25H,8223BK
8223BK-1PW,POWER Reclining Chair,43 x 37 x 39.25H,8223BK
8223DB-3PW*,POWER Double Reclining Sofa,87 x 37 x 39.25H,8223DB
8223DB-2PW*,POWER Double Reclining Love Seat,66 x 37 x 39.25H,8223DB
8223DB-1PW,POWER Reclining Chair,43 x 37 x 39.25H,8223DB
8224DG-3,Sofa,78.25 x 32.5 x 30.5H,8224DG
8224DG-2,Love Seat,58 x 32.5 x 30.5H,8224DG
8224DG-1,Chair,39.25 x 32.5 x 30.5H,8224DG
8224TN-3,Sofa,78.25 x 32.5 x 30.5H,8224TN
8224TN-2,Love Seat,58 x 32.5 x 30.5H,8224TN
8224TN-1,Chair,39.25 x 32.5 x 30.5H,8224TN
8225-3,Sofa,87 x 35.5 x 37H,8225
8225-2,Love Seat,75.5 x 35.5 x 37H,8225
8225-1,Chair,39.25 x 35.5 x 37H,8225
8225-4,Ottoman,26 x 26 x 19H,8225
8225NGY-3,Sofa,87 x 35.5 x 37H,8225NGY
8225NGY-2,Love Seat,75.5 x 35.5 x 37H,8225NGY
