number,description,dimensions,product_number
1947A,Arm Chair,23 x 26 x 41H,1947-96
1947S,Side Chair,20 x 26 x 41H,1947-96
1947-50*,Buffet &amp; Hutch,46.75 x 17.25 x 79.75H,1947-96
1947-40,Server,57.5 x 17 x 38.75H,1947-96
1958-96,Dining Table,42.75 x 78 - 96 x 30H,1958-96
1958A,Arm Chair,27.25 x 27.25 x 40.75H,1958-96
1958S,Side Chair,21.25 x 27.25 x 40.75H,1958-96
1958-50*,Buffet &amp; Hutch,61.75 x 20.5 x 83.75H,1958-96
1958-40,Server,59.25 x 19.5 x 39.5H,1958-96
1978W-112,Dining Table,44 X 76-94-112 X 30H,1978W-112*
1978WA,Arm Chair,26.75 X 24.5 X 44H,1978W-112*
1978WS,Side Chair,23.25 X 24.5 X 44H,1978W-112*
1978W-50,Buffet &amp; Hutch,70 X 21.25 X 92.5H,1978W-112*
2111-48,Round Dining Table,48 Dia x 30H,2111-48
2111S,Side Chair,18 x 23 x 38.5H,2111-48
2111-40,Media Chest / Server,48 x 17 x 32H,2111-48
2111-72,Dining Table,40 x 60 - 72 x 30H,2111-72
2111S,Side Chair,18 x 23 x 38.5H,2111-72
2111-40,Media Chest / Server,48 x 17 x 32H,2111-72
2168-108*,Dining Table,44 x 94 - 118 x 30.25H,2168-108*
2168A,"Arm Chair, Bonded Leather",24.5 x 27.75 x 44H,2168-108*
2168-50*,Buffet &amp; Hutch,76 x 18 x 87.5H,2168-108*
2168-40,Server,75 x 18 x 39.75H,2168-108*
2168-40M,Server Mirror,54 x 3 x 42H,2168-108*
2168WW-50*,Buffet &amp; Hutch,76 x 18 x 87.5H,2168WW-118*
2168WW-40*,Server,75 x 18 x 39.75H,2168WW-118*
2168WW-40M,Server Mirror,54 x 3 x 42H,2168WW-118*
2168WW-118*,Dining Table,44 x 94 - 118 x 30.25H,2168WW-118*
2168WWA,"Arm Chair, Linen Fabric",24.5 x 27.75 x 44H,2168WW-118*
2243-114*,Dining Table,46 x 86 - 100 - 114 x 30.75H,2243-114*
2243A,Arm Chair,26.75 x 26.5 x 43.75H,2243-114*
2243S,Side Chair,23.25 x 26.5 x 43.75H,2243-114*
2243-50*,Buffet &amp; Hutch,66.25 x 19 x 88.5H,2243-114*
2243-76*,Round / Oval Pedestal Dining Table,60 x 60 - 76 x 30.75H,2243-76*
2243A,Arm Chair,26.75 x 26.5 x 43.75H,2243-76*
2243S,Side Chair,23.25 x 26.5 x 43.75H,2243-76*
2243-55,Buffet / Server,66 x 19 x 35.5H,2243-76*
2423-36,Round / Oval Counter Height Table with Storage Base,42 x 42 - 60 x 36H,2423-36
2423-24,Counter Height Chair,18 x 20 x 41H,2423-36
2425-36,5-Piece Pack Counter Height Set,Table: 40 x 40 x 36H Chair: 17 x 19.75 x 40.5H,2425-36
2434-48,Dining Table,29.5 x 47.25 x 29.5H,2434-48
2434S,Side Chair,17.5 x 21 x 35.5H,2434-48
2438-82,Dining Table,42 x 64 - 82 x 30H,2438-82
2438S,Side Chair,22.5 x 18 x 40H,2438-82
2438-13,48” Bench,48 x 17 x 19.6H,2438-82
2438-40,Server,52 x 18 x 33H,2438-82
2447*,Dining Table,31.5 x 55.25 x 30H,2447*
2447WS,Side Chair,17 x 21.25 x 40.75H,2447*
2456-36,"Counter Height Table, Marble Top",54 x 54 x 36H,2456-36
2456-24,Counter Height Chair,19 x 25 x 41H,2456-36
2456-40,"Server, Marble Top",48 x 18 x 36H,2456-36
2456-64,"Dining Table, Marble Top",38 x 64 x 30H,2456-64
2456S,Side Chair,19 x 25 x 39H,2456-64
2456-13,Bench,49 x 18 x 20H,2456-64
2456-40,"Server, Marble Top",48 x 18 x 36H,2456-64
